country	2018-01-27T08:00:00+0000	2018-01-28T08:00:00+0000
AE	562898	562868
AF	751956	752476
AU	414996	415142
BD	3487127	3487471
BR	770886	770862
CA	441533	441734
CN	195631	195272
DE	357906	358241
DZ	218469	218486
EG	776254	776349
ES	176479	176514
ET	624585	624433
FR	235910	236022
GB	2322976	2324631
GH	379504	379502
HK	180538	180533
ID	427283	427379
IN	4624257	4625659
IQ	381720	381794
IR	286271	286611
IT	364370	364369
KE	469521	469533
KH	668931	669242
LK	307293	307323
MA	192227	192230
MM	3916156	3918279
MX	409005	409120
MY	754014	753792
NG	1921661	1922093
NP	1181943	1181984
PH	1082347	1082328
PK	2101905	2102429
QA	214768	214747
RO	166191	166151
SA	752301	752169
SG	247048	247151
TH	924685	925140
TR	332553	332600
TW	269565	269540
TZ	581583	581741
UG	381487	381461
US	3630401	3631873
VN	784006	783859
ZA	350126	350220
ZM	260881	260932
SUM	39882147	39892285
